rank,city,state,population,2000-2013 growth
560,Alpharetta,GA,62298,33.6%
561,Hamilton,OH,62258,2.7%
562,Waltham,MA,62227,5.0%
563,Coon Rapids,MN,62103,0.6%
564,Haverhill,MA,62088,5.0%
565,Council Bluffs,IA,61969,6.2%
566,Taylor,MI,61817,-6.3%
567,Utica,NY,61808,2.2%
568,Ames,IA,61792,21.3%
569,La Habra,CA,61653,3.6%
570,Encinitas,CA,61588,5.8%
571,Bowling Green,KY,61488,24.1%
572,Burnsville,MN,61434,1.9%
573,Greenville,SC,61397,8.2%
574,West Des Moines,IA,61255,29.8%
575,Cedar Park,TX,61238,134.3%
576,Tulare,CA,61170,33.3%
577,Monterey Park,CA,61085,1.5%
578,Vineland,NJ,61050,9.3%
579,Terre Haute,IN,61025,2.5%
580,North Miami,FL,61007,2.0%
581,Mansfield,TX,60872,114.2%
582,West Allis,WI,60697,-0.6%
583,Bristol,CT,60568,0.4%
584,Taylorsville,UT,60519,2.9%
585,Malden,MA,60509,7.4%
586,Meriden,CT,60456,3.7%
587,Blaine,MN,60407,32.8%
588,Wellington,FL,60202,55.0%
589,Cupertino,CA,60189,14.3%
590,Springfield,OR,60177,12.4%
591,Rogers,AR,60112,50.6%
592,St. Clair Shores,MI,60070,-4.6%
593,Gardena,CA,59957,3.4%
594,Pontiac,MI,59887,-11.4%
595,National City,CA,59834,10.1%
596,Grand Junction,CO,59778,30.9%
597,Rocklin,CA,59738,60.3%
598,Chapel Hill,NC,59635,24.1%
599,Casper,WY,59628,19.9%
600,Broomfield,CO,59471,50.3%
601,Petaluma,CA,59440,8.4%
602,South Jordan,UT,59366,100.1%
603,Springfield,OH,59357,-9.8%
604,Great Falls,MT,59351,3.9%
605,Lancaster,PA,59325,4.5%
606,North Port,FL,59212,154.6%
607,Lakewood,WA,59097,1.1%
608,Marietta,GA,59089,-3.8%
609,San Rafael,CA,58994,5.0%
610,Royal Oak,MI,58946,-1.7%
611,Des Plaines,IL,58918,3.2%
612,Huntington Park,CA,58879,-4.1%
613,La Mesa,CA,58642,6.9%
614,Orland Park,IL,58590,13.9%
615,Auburn,AL,58582,26.4%
616,Lakeville,MN,58562,34.3%
617,Owensboro,KY,58416,7.7%
618,Moore,OK,58414,41.5%
619,Jupiter,FL,58298,46.2%
620,Idaho Falls,ID,58292,14.0%
621,Dubuque,IA,58253,0.9%
622,Bartlett,TN,58226,31.7%
623,Rowlett,TX,58043,28.6%
624,Novi,MI,57960,22.0%
625,White Plains,NY,57866,8.5%
626,Arcadia,CA,57639,8.3%
627,Redmond,WA,57530,26.0%
628,Lake Elsinore,CA,57525,96.5%
629,Ocala,FL,57468,20.8%
630,Tinley Park,IL,57282,16.3%
631,Port Orange,FL,57203,22.8%
632,Medford,MA,57170,2.7%
633,Oak Lawn,IL,57073,3.3%
634,Rocky Mount,NC,56954,-3.1%
635,Kokomo,IN,56895,21.3%
636,Coconut Creek,FL,56792,28.4%
637,Bowie,MD,56759,8.6%
638,Berwyn,IL,56758,5.1%
639,Midwest City,OK,56756,4.5%
640,Fountain Valley,CA,56707,3.0%
641,Buckeye,AZ,56683,480.9%
642,Dearborn Heights,MI,56620,-3.0%
643,Woodland,CA,56590,13.8%
644,Noblesville,IN,56540,88.1%
645,Valdosta,GA,56481,22.3%
646,Diamond Bar,CA,56449,0.1%
647,Manhattan,KS,56143,22.8%
648,Santee,CA,56105,5.7%
649,Taunton,MA,56069,0.0%
650,Sanford,FL,56002,42.8%
651,Kettering,OH,55870,-3.1%
652,New Brunswick,NJ,55831,15.5%
653,Decatur,AL,55816,3.1%
654,Chicopee,MA,55717,1.7%
655,Anderson,IN,55670,-6.6%
656,Margate,FL,55456,2.7%
657,Weymouth Town,MA,55419,1.9%
658,Hempstead,NY,55361,4.0%
659,Corvallis,OR,55298,11.8%
660,Eastvale,CA,55191,2.7%
661,Porterville,CA,55174,20.1%
662,West Haven,CT,55046,5.1%
663,Brentwood,CA,55000,122.3%
664,Paramount,CA,54980,-0.7%
665,Grand Forks,ND,54932,11.5%
666,Georgetown,TX,54898,91.9%
667,St. Peters,MO,54842,6.5%
668,Shoreline,WA,54790,2.9%
669,Mount Prospect,IL,54771,-2.5%
670,Hanford,CA,54686,30.3%
671,Normal,IL,54664,19.7%
672,Rosemead,CA,54561,1.7%
673,Lehi,UT,54382,176.3%
674,Pocatello,ID,54350,5.4%
675,Highland,CA,54291,21.0%
676,Novato,CA,54194,13.3%
677,Port Arthur,TX,54135,-6.0%
678,Carson City,NV,54080,2.9%
679,San Marcos,TX,54076,48.5%
680,Hendersonville,TN,54068,31.7%
681,Elyria,OH,53956,-3.7%
682,Revere,MA,53756,13.4%
683,Pflugerville,TX,53752,123.4%
684,Greenwood,IN,53665,46.0%
685,Bellevue,NE,53663,20.5%
686,Wheaton,IL,53648,-3.4%
687,Smyrna,GA,53438,20.0%
688,Sarasota,FL,53326,1.4%
689,Blue Springs,MO,53294,9.9%
690,Colton,CA,53243,10.8%
691,Euless,TX,53224,15.1%
692,Castle Rock,CO,53063,153.5%
693,Cathedral City,CA,52977,23.2%
694,Kingsport,TN,52962,16.7%
695,Lake Havasu City,AZ,52844,24.6%
696,Pensacola,FL,52703,-6.0%
697,Hoboken,NJ,52575,35.8%
698,Yucaipa,CA,52536,26.8%
699,Watsonville,CA,52477,12.7%
700,Richland,WA,52413,34.6%
701,Delano,CA,52403,31.8%
702,Hoffman Estates,IL,52398,5.4%
703,Florissant,MO,52363,-2.8%
704,Placentia,CA,52206,11.8%
705,West New York,NJ,52122,13.3%
706,Dublin,CA,52105,70.0%
707,Oak Park,IL,52066,-0.8%
708,Peabody,MA,52044,7.5%
709,Perth Amboy,NJ,51982,9.7%
710,Battle Creek,MI,51848,-2.8%
711,Bradenton,FL,51763,3.4%
712,Gilroy,CA,51701,23.9%
713,Milford,CT,51644,1.8%
714,Albany,OR,51583,25.5%
715,Ankeny,IA,51567,86.9%
716,La Crosse,WI,51522,-0.8%
717,Burlington,NC,51510,12.1%
718,DeSoto,TX,51483,36.0%
719,Harrisonburg,VA,51395,27.1%
720,Minnetonka,MN,51368,0.4%
721,Elkhart,IN,51265,-2.5%
722,Lakewood,OH,51143,-9.4%
723,Glendora,CA,51074,3.1%
724,Southaven,MS,50997,72.8%
725,Charleston,WV,50821,-4.7%
726,Joplin,MO,50789,11.2%
727,Enid,OK,50725,8.1%
728,Palm Beach Gardens,FL,50699,39.6%
729,Brookhaven,GA,50603,7.3%
730,Plainfield,NJ,50588,5.7%
